INDEX,FILE_NAME,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,23batch10,23batch10,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,471,471,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,472,472,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,473,473,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,474,474,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,475,475,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,476,476,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,477,477,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,478,478,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,479,479,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,480,480,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,481,481,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,482,482,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,483,483,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,484,484,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,485,485,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
17,486,486,SupraChemCage,SupraChemCage,SupraChemCage,1:17,1
18,487,487,SupraChemCage,SupraChemCage,SupraChemCage,1:18,1
19,488,488,SupraChemCage,SupraChemCage,SupraChemCage,1:19,1
20,489,489,SupraChemCage,SupraChemCage,SupraChemCage,1:20,1
21,490,490,SupraChemCage,SupraChemCage,SupraChemCage,1:21,1
22,491,491,SupraChemCage,SupraChemCage,SupraChemCage,1:22,1
23,492,492,SupraChemCage,SupraChemCage,SupraChemCage,1:23,1
24,493,493,SupraChemCage,SupraChemCage,SupraChemCage,1:24,1
25,494,494,SupraChemCage,SupraChemCage,SupraChemCage,1:25,1
26,495,495,SupraChemCage,SupraChemCage,SupraChemCage,1:26,1
27,496,496,SupraChemCage,SupraChemCage,SupraChemCage,1:27,1
28,497,497,SupraChemCage,SupraChemCage,SupraChemCage,1:28,1
29,498,498,SupraChemCage,SupraChemCage,SupraChemCage,1:29,1
30,499,499,SupraChemCage,SupraChemCage,SupraChemCage,1:30,1
31,500,500,SupraChemCage,SupraChemCage,SupraChemCage,1:31,1
32,501,501,SupraChemCage,SupraChemCage,SupraChemCage,1:32,1
33,502,502,SupraChemCage,SupraChemCage,SupraChemCage,1:33,1
34,503,503,SupraChemCage,SupraChemCage,SupraChemCage,1:34,1
35,504,504,SupraChemCage,SupraChemCage,SupraChemCage,1:35,1
36,505,505,SupraChemCage,SupraChemCage,SupraChemCage,1:36,1
37,506,506,SupraChemCage,SupraChemCage,SupraChemCage,1:37,1
38,507,507,SupraChemCage,SupraChemCage,SupraChemCage,1:38,1
39,508,508,SupraChemCage,SupraChemCage,SupraChemCage,1:39,1
40,509,509,SupraChemCage,SupraChemCage,SupraChemCage,1:40,1
41,510,510,SupraChemCage,SupraChemCage,SupraChemCage,1:41,1
42,511,511,SupraChemCage,SupraChemCage,SupraChemCage,1:42,1
43,512,512,SupraChemCage,SupraChemCage,SupraChemCage,1:43,1
44,513,513,SupraChemCage,SupraChemCage,SupraChemCage,1:44,1
45,514,514,SupraChemCage,SupraChemCage,SupraChemCage,1:45,1
46,515,515,SupraChemCage,SupraChemCage,SupraChemCage,1:46,1
47,516,516,SupraChemCage,SupraChemCage,SupraChemCage,1:47,1
48,517,517,SupraChemCage,SupraChemCage,SupraChemCage,1:48,1
