INDEX,FILE_NAME,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,23batch13,23batch13,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,612,612,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,613,613,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,614,614,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,615,615,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,616,616,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,617,617,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,618,618,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,619,619,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,620,620,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,621,621,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,622,622,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,623,623,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,624,624,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,625,625,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,626,626,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
17,627,627,SupraChemCage,SupraChemCage,SupraChemCage,1:17,1
18,628,628,SupraChemCage,SupraChemCage,SupraChemCage,1:18,1
19,629,629,SupraChemCage,SupraChemCage,SupraChemCage,1:19,1
20,630,630,SupraChemCage,SupraChemCage,SupraChemCage,1:20,1
21,631,631,SupraChemCage,SupraChemCage,SupraChemCage,1:21,1
22,632,632,SupraChemCage,SupraChemCage,SupraChemCage,1:22,1
23,633,633,SupraChemCage,SupraChemCage,SupraChemCage,1:23,1
24,634,634,SupraChemCage,SupraChemCage,SupraChemCage,1:24,1
25,635,635,SupraChemCage,SupraChemCage,SupraChemCage,1:25,1
26,636,636,SupraChemCage,SupraChemCage,SupraChemCage,1:26,1
27,637,637,SupraChemCage,SupraChemCage,SupraChemCage,1:27,1
28,638,638,SupraChemCage,SupraChemCage,SupraChemCage,1:28,1
29,639,639,SupraChemCage,SupraChemCage,SupraChemCage,1:29,1
30,640,640,SupraChemCage,SupraChemCage,SupraChemCage,1:30,1
31,641,641,SupraChemCage,SupraChemCage,SupraChemCage,1:31,1
32,642,642,SupraChemCage,SupraChemCage,SupraChemCage,1:32,1
33,643,643,SupraChemCage,SupraChemCage,SupraChemCage,1:33,1
34,644,644,SupraChemCage,SupraChemCage,SupraChemCage,1:34,1
35,645,645,SupraChemCage,SupraChemCage,SupraChemCage,1:35,1
36,646,646,SupraChemCage,SupraChemCage,SupraChemCage,1:36,1
37,647,647,SupraChemCage,SupraChemCage,SupraChemCage,1:37,1
38,648,648,SupraChemCage,SupraChemCage,SupraChemCage,1:38,1
39,649,649,SupraChemCage,SupraChemCage,SupraChemCage,1:39,1
40,650,650,SupraChemCage,SupraChemCage,SupraChemCage,1:40,1
41,651,651,SupraChemCage,SupraChemCage,SupraChemCage,1:41,1
42,652,652,SupraChemCage,SupraChemCage,SupraChemCage,1:42,1
43,653,653,SupraChemCage,SupraChemCage,SupraChemCage,1:43,1
44,654,654,SupraChemCage,SupraChemCage,SupraChemCage,1:44,1
45,655,655,SupraChemCage,SupraChemCage,SupraChemCage,1:45,1
46,656,656,SupraChemCage,SupraChemCage,SupraChemCage,1:46,1
47,657,657,SupraChemCage,SupraChemCage,SupraChemCage,1:47,1
48,658,658,SupraChemCage,SupraChemCage,SupraChemCage,1:48,1
