INDEX,FILE_NAME,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,1batch4,1batch4,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,189,189,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,190,190,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,191,191,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,192,192,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,193,193,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,194,194,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,195,195,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,196,196,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,197,197,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,198,198,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,199,199,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,200,200,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,201,201,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,202,202,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,203,203,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
17,204,204,SupraChemCage,SupraChemCage,SupraChemCage,1:17,1
18,205,205,SupraChemCage,SupraChemCage,SupraChemCage,1:18,1
19,206,206,SupraChemCage,SupraChemCage,SupraChemCage,1:19,1
20,207,207,SupraChemCage,SupraChemCage,SupraChemCage,1:20,1
21,208,208,SupraChemCage,SupraChemCage,SupraChemCage,1:21,1
22,209,209,SupraChemCage,SupraChemCage,SupraChemCage,1:22,1
23,210,210,SupraChemCage,SupraChemCage,SupraChemCage,1:23,1
24,211,211,SupraChemCage,SupraChemCage,SupraChemCage,1:24,1
25,212,212,SupraChemCage,SupraChemCage,SupraChemCage,1:25,1
26,213,213,SupraChemCage,SupraChemCage,SupraChemCage,1:26,1
27,214,214,SupraChemCage,SupraChemCage,SupraChemCage,1:27,1
28,215,215,SupraChemCage,SupraChemCage,SupraChemCage,1:28,1
29,216,216,SupraChemCage,SupraChemCage,SupraChemCage,1:29,1
30,217,217,SupraChemCage,SupraChemCage,SupraChemCage,1:30,1
31,218,218,SupraChemCage,SupraChemCage,SupraChemCage,1:31,1
32,219,219,SupraChemCage,SupraChemCage,SupraChemCage,1:32,1
33,220,220,SupraChemCage,SupraChemCage,SupraChemCage,1:33,1
34,221,221,SupraChemCage,SupraChemCage,SupraChemCage,1:34,1
35,222,222,SupraChemCage,SupraChemCage,SupraChemCage,1:35,1
36,223,223,SupraChemCage,SupraChemCage,SupraChemCage,1:36,1
37,224,224,SupraChemCage,SupraChemCage,SupraChemCage,1:37,1
38,225,225,SupraChemCage,SupraChemCage,SupraChemCage,1:38,1
39,226,226,SupraChemCage,SupraChemCage,SupraChemCage,1:39,1
40,227,227,SupraChemCage,SupraChemCage,SupraChemCage,1:40,1
41,228,228,SupraChemCage,SupraChemCage,SupraChemCage,1:41,1
42,229,229,SupraChemCage,SupraChemCage,SupraChemCage,1:42,1
43,230,230,SupraChemCage,SupraChemCage,SupraChemCage,1:43,1
44,231,231,SupraChemCage,SupraChemCage,SupraChemCage,1:44,1
45,232,232,SupraChemCage,SupraChemCage,SupraChemCage,1:45,1
46,233,233,SupraChemCage,SupraChemCage,SupraChemCage,1:46,1
47,234,234,SupraChemCage,SupraChemCage,SupraChemCage,1:47,1
48,235,235,SupraChemCage,SupraChemCage,SupraChemCage,1:48,1
