INDEX,FILE_NAME,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,1batch2,1batch2,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,95,95,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,96,96,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,97,97,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,98,98,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,99,99,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,100,100,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,101,101,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,102,102,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,103,103,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,104,104,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,105,105,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,106,106,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,107,107,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,108,108,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,109,109,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
17,110,110,SupraChemCage,SupraChemCage,SupraChemCage,1:17,1
18,111,111,SupraChemCage,SupraChemCage,SupraChemCage,1:18,1
19,112,112,SupraChemCage,SupraChemCage,SupraChemCage,1:19,1
20,113,113,SupraChemCage,SupraChemCage,SupraChemCage,1:20,1
21,114,114,SupraChemCage,SupraChemCage,SupraChemCage,1:21,1
22,115,115,SupraChemCage,SupraChemCage,SupraChemCage,1:22,1
23,116,116,SupraChemCage,SupraChemCage,SupraChemCage,1:23,1
24,117,117,SupraChemCage,SupraChemCage,SupraChemCage,1:24,1
25,118,118,SupraChemCage,SupraChemCage,SupraChemCage,1:25,1
26,119,119,SupraChemCage,SupraChemCage,SupraChemCage,1:26,1
27,120,120,SupraChemCage,SupraChemCage,SupraChemCage,1:27,1
28,121,121,SupraChemCage,SupraChemCage,SupraChemCage,1:28,1
29,122,122,SupraChemCage,SupraChemCage,SupraChemCage,1:29,1
30,123,123,SupraChemCage,SupraChemCage,SupraChemCage,1:30,1
31,124,124,SupraChemCage,SupraChemCage,SupraChemCage,1:31,1
32,125,125,SupraChemCage,SupraChemCage,SupraChemCage,1:32,1
33,126,126,SupraChemCage,SupraChemCage,SupraChemCage,1:33,1
34,127,127,SupraChemCage,SupraChemCage,SupraChemCage,1:34,1
35,128,128,SupraChemCage,SupraChemCage,SupraChemCage,1:35,1
36,129,129,SupraChemCage,SupraChemCage,SupraChemCage,1:36,1
37,130,130,SupraChemCage,SupraChemCage,SupraChemCage,1:37,1
38,131,131,SupraChemCage,SupraChemCage,SupraChemCage,1:38,1
39,132,132,SupraChemCage,SupraChemCage,SupraChemCage,1:39,1
40,133,133,SupraChemCage,SupraChemCage,SupraChemCage,1:40,1
41,134,134,SupraChemCage,SupraChemCage,SupraChemCage,1:41,1
42,135,135,SupraChemCage,SupraChemCage,SupraChemCage,1:42,1
43,136,136,SupraChemCage,SupraChemCage,SupraChemCage,1:43,1
44,137,137,SupraChemCage,SupraChemCage,SupraChemCage,1:44,1
45,138,138,SupraChemCage,SupraChemCage,SupraChemCage,1:45,1
46,139,139,SupraChemCage,SupraChemCage,SupraChemCage,1:46,1
47,140,140,SupraChemCage,SupraChemCage,SupraChemCage,1:47,1
48,141,141,SupraChemCage,SupraChemCage,SupraChemCage,1:48,1
