INDEX,FILE_NAME,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,1batch5,1batch5,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,236,236,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,237,237,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,238,238,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,239,239,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,240,240,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,241,241,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,242,242,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,243,243,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,244,244,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,245,245,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,246,246,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,247,247,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,248,248,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,249,249,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,250,250,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
17,251,251,SupraChemCage,SupraChemCage,SupraChemCage,1:17,1
18,252,252,SupraChemCage,SupraChemCage,SupraChemCage,1:18,1
19,253,253,SupraChemCage,SupraChemCage,SupraChemCage,1:19,1
20,254,254,SupraChemCage,SupraChemCage,SupraChemCage,1:20,1
21,255,255,SupraChemCage,SupraChemCage,SupraChemCage,1:21,1
22,256,256,SupraChemCage,SupraChemCage,SupraChemCage,1:22,1
23,257,257,SupraChemCage,SupraChemCage,SupraChemCage,1:23,1
24,258,258,SupraChemCage,SupraChemCage,SupraChemCage,1:24,1
25,259,259,SupraChemCage,SupraChemCage,SupraChemCage,1:25,1
26,260,260,SupraChemCage,SupraChemCage,SupraChemCage,1:26,1
27,261,261,SupraChemCage,SupraChemCage,SupraChemCage,1:27,1
28,262,262,SupraChemCage,SupraChemCage,SupraChemCage,1:28,1
29,263,263,SupraChemCage,SupraChemCage,SupraChemCage,1:29,1
30,264,264,SupraChemCage,SupraChemCage,SupraChemCage,1:30,1
31,265,265,SupraChemCage,SupraChemCage,SupraChemCage,1:31,1
32,266,266,SupraChemCage,SupraChemCage,SupraChemCage,1:32,1
33,267,267,SupraChemCage,SupraChemCage,SupraChemCage,1:33,1
34,268,268,SupraChemCage,SupraChemCage,SupraChemCage,1:34,1
35,269,269,SupraChemCage,SupraChemCage,SupraChemCage,1:35,1
36,270,270,SupraChemCage,SupraChemCage,SupraChemCage,1:36,1
37,271,271,SupraChemCage,SupraChemCage,SupraChemCage,1:37,1
38,272,272,SupraChemCage,SupraChemCage,SupraChemCage,1:38,1
39,273,273,SupraChemCage,SupraChemCage,SupraChemCage,1:39,1
40,274,274,SupraChemCage,SupraChemCage,SupraChemCage,1:40,1
41,275,275,SupraChemCage,SupraChemCage,SupraChemCage,1:41,1
42,276,276,SupraChemCage,SupraChemCage,SupraChemCage,1:42,1
43,277,277,SupraChemCage,SupraChemCage,SupraChemCage,1:43,1
44,278,278,SupraChemCage,SupraChemCage,SupraChemCage,1:44,1
45,279,279,SupraChemCage,SupraChemCage,SupraChemCage,1:45,1
46,280,280,SupraChemCage,SupraChemCage,SupraChemCage,1:46,1
47,281,281,SupraChemCage,SupraChemCage,SupraChemCage,1:47,1
48,282,282,SupraChemCage,SupraChemCage,SupraChemCage,1:48,1
