metal,amine,aldehdye
1111.111111111111,1111.111111111111,1111.111111111111
1111.111111111111,1111.111111111111,1111.111111111111
1111.111111111111,1111.111111111111,1111.111111111111
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
