Unique Identifier,Reaction,Iron(II) tetrafluoroborate hexahydrate,Zinc tetrafluoroborate,Yittrium(III) trifluoromethanesulfonate,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,Silver tetrafluoroborate,"1,10-Phenanthroline-2,9-dicarbaldehyde","Pyridine-2,6-dicarbaldehyde","2,2'-(Ethane-1,2-diyl)dianiline","2,2'-(Ethane-1,2-diylbis(oxy))diethanamine","2,2'-Oxydiethanamine","4,4'-Methylenedianiline",m-Xylylenediamine,"Adamantane-1,3-diamine","4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline","(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine","[2,2'-Bipyridine]-4,4'-diamine","Naphthalene-1,8-diamine","4,4'-Oxydianiline","6-Methyl-1,3,5-triazine-2,4-diamine","(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",6-Methylpyridine-2-carboxaldehyde,6-Phenylpicolinaldehyde,"[2,2'-Bipyridine]-6-carbaldehyde",2-Quinolinecarboxaldehyde,5-Methylpicolinaldehyde,8-methoxyquinoline-2-carbaldehyde,"[1,8]Naphthyridine-2-carbaldehyde",4-Formyl-2-methylthiazole,6-Methoxypyridine-2-carbaldehyde,1-Methyl-2-imidazolecarboxaldehyde,1-Methyl-1H-benzimidazole-2-carbaldehyde,"4-Methyl-1,3-thiazole-2-carbaldehyde",CH3CN
23batch4,"[5-Methylpicolinaldehyde, Iron(II) tetrafluoroborate hexahydrate, 4,4'-Methylenedianiline]",273.3333333333333,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,273.3333333333333,0,0,0.0,0.0,0.0,0,0,1230.0
189,"[2,2'-Oxydiethanamine, 4-Formyl-2-methylthiazole, Iron(II) tetrafluoroborate hexahydrate]",273.3333333333333,0.0,0.0,0.0,0.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,273.3333333333333,0.0,0.0,0,0,1230.0
190,"[2,2'-Oxydiethanamine, 4-Formyl-2-methylthiazole, Yittrium(III) trifluoromethanesulfonate]",0.0,0.0,273.3333333333333,0.0,0.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,273.3333333333333,0.0,0.0,0,0,1230.0
191,"[2,2'-Oxydiethanamine, Silver tetrafluoroborate, 6-Methylpyridine-2-carboxaldehyde]",0.0,0.0,0.0,0.0,273.3333333333333,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,273.3333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1230.0
192,"[2,2'-Oxydiethanamine, Silver tetrafluoroborate, 6-Methoxypyridine-2-carbaldehyde]",0.0,0.0,0.0,0.0,273.3333333333333,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,273.3333333333333,0.0,0,0,1230.0
193,"[2,2'-Oxydiethanamine, Silver tetrafluoroborate, 5-Methylpicolinaldehyde]",0.0,0.0,0.0,0.0,273.3333333333333,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,273.3333333333333,0,0,0.0,0.0,0.0,0,0,1230.0
194,"[2,2'-Oxydiethanamine, Silver tetrafluoroborate, 1-Methyl-2-imidazolecarboxaldehyde]",0.0,0.0,0.0,0.0,273.3333333333333,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,273.3333333333333,0,0,1230.0
195,"[2,2'-Oxydiethanamine, Silver tetrafluoroborate, 4-Formyl-2-methylthiazole]",0.0,0.0,0.0,0.0,273.3333333333333,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,273.3333333333333,0.0,0.0,0,0,1230.0
196,"[2,2'-Oxydiethanamine, 2-Quinolinecarboxaldehyde, Zinc tetrafluoroborate]",0.0,273.3333333333333,0.0,0.0,0.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,273.3333333333333,0.0,0,0,0.0,0.0,0.0,0,0,1230.0
197,"[2,2'-Oxydiethanamine, 2-Quinolinecarboxaldehyde, Iron(II) tetrafluoroborate hexahydrate]",273.3333333333333,0.0,0.0,0.0,0.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,273.3333333333333,0.0,0,0,0.0,0.0,0.0,0,0,1230.0
198,"[2,2'-Oxydiethanamine, 2-Quinolinecarboxaldehyde, Yittrium(III) trifluoromethanesulfonate]",0.0,0.0,273.3333333333333,0.0,0.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,273.3333333333333,0.0,0,0,0.0,0.0,0.0,0,0,1230.0
199,"[2,2'-Oxydiethanamine, 2-Quinolinecarboxaldehyde, Silver tetrafluoroborate]",0.0,0.0,0.0,0.0,273.3333333333333,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,273.3333333333333,0.0,0,0,0.0,0.0,0.0,0,0,1230.0
200,"[2,2'-Oxydiethanamine, 2-Quinolinecarboxaldehyde, Silver tetrafluoroborate]",0.0,0.0,0.0,0.0,410.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,273.3333333333333,0.0,0,0,0.0,0.0,0.0,0,0,1093.3333333333335
201,"[2,2'-Oxydiethanamine, Silver tetrafluoroborate, 6-Methylpyridine-2-carboxaldehyde]",0.0,0.0,0.0,0.0,410.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,273.3333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1093.3333333333335
202,"[2,2'-Oxydiethanamine, Silver tetrafluoroborate, 6-Methoxypyridine-2-carbaldehyde]",0.0,0.0,0.0,0.0,410.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,273.3333333333333,0.0,0,0,1093.3333333333335
203,"[2,2'-Oxydiethanamine, Silver tetrafluoroborate, 5-Methylpicolinaldehyde]",0.0,0.0,0.0,0.0,410.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,273.3333333333333,0,0,0.0,0.0,0.0,0,0,1093.3333333333335
204,"[2,2'-Oxydiethanamine, Silver tetrafluoroborate, 1-Methyl-2-imidazolecarboxaldehyde]",0.0,0.0,0.0,0.0,410.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,273.3333333333333,0,0,1093.3333333333335
205,"[2,2'-Oxydiethanamine, Silver tetrafluoroborate, 4-Formyl-2-methylthiazole]",0.0,0.0,0.0,0.0,410.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,273.3333333333333,0.0,0.0,0,0,1093.3333333333335
206,"[2,2'-Oxydiethanamine, Tetrakis(acetonitrile)copper(I) tetrafluoroborate, 6-Methylpyridine-2-carboxaldehyde]",0.0,0.0,0.0,410.0,0.0,0,0,0.0,0.0,273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,273.3333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1093.3333333333335
