Unique Identifier,Reaction,Iron(II) tetrafluoroborate hexahydrate,Zinc tetrafluoroborate,Yittrium(III) trifluoromethanesulfonate,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,Silver tetrafluoroborate,"1,10-Phenanthroline-2,9-dicarbaldehyde","Pyridine-2,6-dicarbaldehyde","2,2'-(Ethane-1,2-diyl)dianiline","2,2'-(Ethane-1,2-diylbis(oxy))diethanamine","2,2'-Oxydiethanamine","4,4'-Methylenedianiline",m-Xylylenediamine,"Adamantane-1,3-diamine","4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline","(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine","[2,2'-Bipyridine]-4,4'-diamine","Naphthalene-1,8-diamine","4,4'-Oxydianiline","6-Methyl-1,3,5-triazine-2,4-diamine","(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",6-Methylpyridine-2-carboxaldehyde,6-Phenylpicolinaldehyde,"[2,2'-Bipyridine]-6-carbaldehyde",2-Quinolinecarboxaldehyde,5-Methylpicolinaldehyde,8-methoxyquinoline-2-carbaldehyde,"[1,8]Naphthyridine-2-carbaldehyde",4-Formyl-2-methylthiazole,6-Methoxypyridine-2-carbaldehyde,1-Methyl-2-imidazolecarboxaldehyde,1-Methyl-1H-benzimidazole-2-carbaldehyde,"4-Methyl-1,3-thiazole-2-carbaldehyde",CH3CN
23batch13,"[5-Methylpicolinaldehyde, Iron(II) tetrafluoroborate hexahydrate, 4,4'-Methylenedianiline]",273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,273.3333333333333,0,0.0,0,0,0,0,0,1230.0
612,"[[2,2'-Bipyridine]-6-carbaldehyde, Iron(II) tetrafluoroborate hexahydrate, 4,4'-Oxydianiline]",273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,273.3333333333333,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
613,"[[1,8]Naphthyridine-2-carbaldehyde, Naphthalene-1,8-diamine, Zinc tetrafluoroborate]",0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,273.3333333333333,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
614,"[[1,8]Naphthyridine-2-carbaldehyde, 4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline, Zinc tetrafluoroborate]",0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
615,"[[2,2'-Bipyridine]-6-carbaldehyde, Naphthalene-1,8-diamine, Zinc tetrafluoroborate]",0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,273.3333333333333,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
616,"[[2,2'-Bipyridine]-6-carbaldehyde, 4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline, Zinc tetrafluoroborate]",0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
617,"[[1,8]Naphthyridine-2-carbaldehyde, Naphthalene-1,8-diamine, Iron(II) tetrafluoroborate hexahydrate]",273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,273.3333333333333,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
618,"[[1,8]Naphthyridine-2-carbaldehyde, 4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline, Iron(II) tetrafluoroborate hexahydrate]",273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
619,"[[2,2'-Bipyridine]-6-carbaldehyde, Naphthalene-1,8-diamine, Iron(II) tetrafluoroborate hexahydrate]",273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,273.3333333333333,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
620,"[[2,2'-Bipyridine]-6-carbaldehyde, 4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline, Iron(II) tetrafluoroborate hexahydrate]",273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
621,"[[1,8]Naphthyridine-2-carbaldehyde, m-Xylylenediamine, Zinc tetrafluoroborate]",0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
622,"[[2,2'-Bipyridine]-6-carbaldehyde, m-Xylylenediamine, Zinc tetrafluoroborate]",0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
623,"[[1,8]Naphthyridine-2-carbaldehyde, m-Xylylenediamine, Iron(II) tetrafluoroborate hexahydrate]",273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
624,"[[2,2'-Bipyridine]-6-carbaldehyde, m-Xylylenediamine, Iron(II) tetrafluoroborate hexahydrate]",273.3333333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
625,"[[1,8]Naphthyridine-2-carbaldehyde, 2,2'-(Ethane-1,2-diyl)dianiline, Zinc tetrafluoroborate]",0.0,273.3333333333333,0.0,0,0.0,0,0,273.3333333333333,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
626,"[[2,2'-Bipyridine]-6-carbaldehyde, 2,2'-(Ethane-1,2-diyl)dianiline, Zinc tetrafluoroborate]",0.0,273.3333333333333,0.0,0,0.0,0,0,273.3333333333333,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
627,"[[1,8]Naphthyridine-2-carbaldehyde, 2,2'-(Ethane-1,2-diyl)dianiline, Iron(II) tetrafluoroborate hexahydrate]",273.3333333333333,0.0,0.0,0,0.0,0,0,273.3333333333333,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
628,"[[2,2'-Bipyridine]-6-carbaldehyde, 2,2'-(Ethane-1,2-diyl)dianiline, Iron(II) tetrafluoroborate hexahydrate]",273.3333333333333,0.0,0.0,0,0.0,0,0,273.3333333333333,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
629,"[[1,8]Naphthyridine-2-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, 4,4'-Methylenedianiline]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
630,"[[2,2'-Bipyridine]-6-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, 4,4'-Methylenedianiline]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
631,"[[1,8]Naphthyridine-2-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, 2,2'-(Ethane-1,2-diylbis(oxy))diethanamine]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,273.3333333333333,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
632,"[[2,2'-Bipyridine]-6-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, 2,2'-(Ethane-1,2-diylbis(oxy))diethanamine]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,273.3333333333333,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
633,"[[1,8]Naphthyridine-2-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, 4,4'-Oxydianiline]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,273.3333333333333,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
634,"[[2,2'-Bipyridine]-6-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, 4,4'-Oxydianiline]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,273.3333333333333,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
635,"[[1,8]Naphthyridine-2-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, Naphthalene-1,8-diamine]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,273.3333333333333,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
636,"[[1,8]Naphthyridine-2-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, 4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
637,"[[2,2'-Bipyridine]-6-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, Naphthalene-1,8-diamine]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,273.3333333333333,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
638,"[[2,2'-Bipyridine]-6-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, 4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
639,"[[1,8]Naphthyridine-2-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, m-Xylylenediamine]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
640,"[[2,2'-Bipyridine]-6-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, m-Xylylenediamine]",0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,273.3333333333333,0,0.0,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
641,"[[1,8]Naphthyridine-2-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, 2,2'-(Ethane-1,2-diyl)dianiline]",0.0,0.0,273.3333333333333,0,0.0,0,0,273.3333333333333,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
642,"[[2,2'-Bipyridine]-6-carbaldehyde, Yittrium(III) trifluoromethanesulfonate, 2,2'-(Ethane-1,2-diyl)dianiline]",0.0,0.0,273.3333333333333,0,0.0,0,0,273.3333333333333,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
643,"[[1,8]Naphthyridine-2-carbaldehyde, Silver tetrafluoroborate, 4,4'-Methylenedianiline]",0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
644,"[[2,2'-Bipyridine]-6-carbaldehyde, Silver tetrafluoroborate, 4,4'-Methylenedianiline]",0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0.0,273.3333333333333,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
645,"[[1,8]Naphthyridine-2-carbaldehyde, Silver tetrafluoroborate, 2,2'-(Ethane-1,2-diylbis(oxy))diethanamine]",0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,273.3333333333333,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
646,"[[2,2'-Bipyridine]-6-carbaldehyde, Silver tetrafluoroborate, 2,2'-(Ethane-1,2-diylbis(oxy))diethanamine]",0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,273.3333333333333,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
647,"[[1,8]Naphthyridine-2-carbaldehyde, Silver tetrafluoroborate, 4,4'-Oxydianiline]",0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,273.3333333333333,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
648,"[[2,2'-Bipyridine]-6-carbaldehyde, Silver tetrafluoroborate, 4,4'-Oxydianiline]",0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,273.3333333333333,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
649,"[[1,8]Naphthyridine-2-carbaldehyde, Silver tetrafluoroborate, Naphthalene-1,8-diamine]",0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,273.3333333333333,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
650,"[[1,8]Naphthyridine-2-carbaldehyde, Silver tetrafluoroborate, 4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline]",0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,273.3333333333333,0,0,0,0,0,1230.0
651,"[[2,2'-Bipyridine]-6-carbaldehyde, Silver tetrafluoroborate, Naphthalene-1,8-diamine]",0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,273.3333333333333,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
652,"[[2,2'-Bipyridine]-6-carbaldehyde, Silver tetrafluoroborate, 4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline]",0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0,273.3333333333333,0,0,0.0,0.0,0,0,0,0,273.3333333333333,0,0.0,0,0.0,0,0,0,0,0,1230.0
